species,sex,island,SVL,HL,SL,IOD,IND,ED,TD,HW,FA,FL,TBL,TarL,PL,ML,Toe4DW,Fin3DW,
aurantipunctata,f,Luzon,59.1,20.9,9.2,7.1,6.2,5.7,3.7,19.9,13.5,31.7,33.7,19.5,31.6,22.7,2,4.5,
everetti,m,Mindanao,79.5,30.3,13.3,7.4,7.7,8.5,8.5,25.5,18.6,43.6,47.7,25.9,43.1,26.3,2.8,4.6,
everetti,m,Mindanao,78.3,29.2,13.4,7.2,7.6,7.3,7.5,25.3,16.4,40.6,44.5,24.4,39.8,24.5,2.4,4.6,
everetti,m,Mindanao,61.7,22.8,10.3,6.9,5.8,6,5.7,19.5,12.8,34.5,36.8,20.7,33.9,24.5,2.1,4.4,
everetti,m,Mindanao,72.4,29.4,13.3,7.9,7.6,7.5,8.4,23.8,13.3,41.8,44.6,25.5,41.9,26.8,2.5,3.8,
everetti,m,Mindanao,76.4,28.5,12.9,7.8,7,7.2,7.6,23.9,14.1,44.2,47.4,26.5,46.6,27.8,2.8,4.2,
everetti,m,Mindanao,72.7,28.6,13,7.5,7.1,7.4,8,24,13.7,41.7,44.6,24.4,41.3,26.3,2.6,4.1,
everetti,m,Mindanao,65,24.1,10.7,6.9,6.4,6.1,6.3,20,12.5,35.6,38.9,21.9,36.5,21.8,2.3,3.3,
everetti,m,Mindanao,64.6,24.6,11.7,7.5,6.3,7.4,6.6,21.1,12.4,38.2,41.5,23,37.4,22.6,2.3,3.4,
everetti,m,Mindanao,67.9,27.2,12.4,7.5,7.2,7.2,6.6,21.6,13.4,37.4,44.8,23.7,41.8,23,2.7,3.8,
everetti,f,Bohol,73.7,26.8,12.7,7.8,8.1,8.2,6.6,24.5,17.5,39.5,45.2,23.5,39.5,25.7,2.8,5.1,
everetti,f,Mindanao,87,31.2,14.4,10.7,8.4,9.8,6.6,29.2,22.2,49.7,53.7,28.5,50.1,32.6,3.1,7.4,
everetti,f,Mindanao,77.8,29.9,13.3,7.4,7.5,7.8,9.3,24.6,18.1,40.9,45,23.3,41.5,23.8,2.7,4.5,
everetti,f,Mindanao,86.3,31.9,15.3,9.6,9,8.4,6.9,29.9,17.5,49.3,55,29.2,53.9,31.4,3.5,5.2,
igorata,m,Luzon,53.9,20.4,8,4.5,5.1,7.5,4.1,17.5,11.3,28.4,30.2,17.5,27.7,16.9,2.1,3.4,
igorata,m,Luzon,50.2,19.6,8.5,4.6,5.1,6.1,3.3,17.3,10.1,26.3,29.6,16.1,26.7,16.8,2,2.9,
igorata,m,Luzon,52.6,19.6,8.9,5,5.1,6.2,3,17.8,11.8,29.2,32,18,28.2,17.9,2.1,3.3,
igorata,m,Luzon,54.2,19.8,8.7,5,5.2,6.6,3.7,17.5,12,29.3,30.8,18.5,28.5,18.2,2.1,3.4,
